ubicacion,nombre,telefono,direccion
"Ecuador, PASTAZA, Puyo",Hostería Safari,03-2533006,"Km 5 Vía Tena, Puyo - Pastaza"
"Ecuador, PASTAZA, Puyo",Hostería Turingia,03-2885180,Ceslao Marin 294 y Javier Vargas
"Ecuador, ZAMORA CHINCHIPE, Guayzimi",Hotel Ayamtaic,07-3038713,Av Jorge Mosquera y Carlos Vélez
"Ecuador, ZAMORA CHINCHIPE, Zamora",Hotel Betania,07-2607030,Calle Francisco de Orellana y Av Amazonas
"Ecuador, ZAMORA CHINCHIPE, Zamora",Hotel Everlast,07-2627027,Calle Diego de Vaca y Luis Marquez
"Ecuador, ZAMORA CHINCHIPE, Yantzaza",Hotel Oriental,07-2300901,Av Iván Riofrío y 1ero de Mayo
"Ecuador, ZAMORA CHINCHIPE, Zamora",Hotel Wampushkar,07-2607800,Diego de Vaca y Calle Vicente Aldean
"Ecuador, ZAMORA CHINCHIPE, Yantzaza",Hotel´s Sebastian´s Internacional,07-2300911,Calle 1ero de Mayo e Iván Riofrío
"Ecuador, LOJA, Macará",Hostal Conquistador,07-2695357,Calle Bolívar y Abdón Calderón
"Ecuador, SUCUMBIOS, Shushufindi",Cuyabeno Lodge,02-2926153,Shushufindi - Limoncocha
"Ecuador, MORONA SANTIAGO, Gualaquiza",Hotel Wakiz,07-2780138,"Francisco de Orellana y Domingo Comín, esquina"
"Ecuador, MORONA SANTIAGO, Sucúa",Hotel Don Guimo,07-2740483,Domingo Comín s/n y Kiruba
"Ecuador, MORONA SANTIAGO, Gualaquiza",Hostal Residencial Anita,07-2780113,Calle Gonzalo P. y García Moreno
"Ecuador, MORONA SANTIAGO, Sucúa",Hostal Athenas,07-2740216,Av. domingo comín y Serafín Solís
"Ecuador, SANTA ELENA, La Libertad",Hotelito,04-2781314,Av Eleodoro Solorzano E/ Calle 18 y 19
"Ecuador, GUAYAS, General Villamil - Playas",Hotel Ana,04-2761770,Km 1.5 Vía a la Data
"Ecuador, MANABI, Manta",Hotel Leo,05-2623159,Av 9 y 24 de Mayo Frente al Terminal Terrestre
"Ecuador, PICHINCHA, Quito",Hotel Akros,02-2430600,Av 6 de Diciembre N34-120 y Eloy Alfaro
"Ecuador, SANTA ELENA, Salinas",Hotel Amira,04-2770705,Av Eloy Alfaro entre Calle 4ta y 4ta Chipipe
"Ecuador, LOS RIOS, Vinces",Hotel Azuay,05-2791131,Calle Balzar y Av Las Flores
"Ecuador, SANTA ELENA, Salinas",Hotel Bleu,04-2771172,Calle 30 y Malecón
"Ecuador, PICHINCHA, Quito",Hotel Gold,02-2257391,Av 10 de Agosto N35-77 e Ignacio San Maria
"Ecuador, EL ORO, Machala",Hotel Inés,07-2932301,Juan Montalvo E/ Boyacá y Pasaje
"Ecuador, AZUAY, Cuenca",Hotel Kuna,07-2838305,Av de las Américas 10-93 y Luis Cordero
"Ecuador, CAÑAR, Azogues",Hotel León,07-2249916,Luis Monsalve Pozo y Av Che Guevara
"Ecuador, SANTA ELENA, Montañita",Hotel Maeo,04-2060052,Montañita
"Ecuador, EL ORO, Santa Rosa",Hotel Magma,07-2945994,Eloy Alfaro y Sucre
"Ecuador, MANABI, Manta",Hotel Miami,05-2384743,Malecón y Calle 108
"Ecuador, AZUAY, Cuenca",Hotel Milán,07-2831104,Pdte. Córdova 9-89 y Padre Aguirre
"Ecuador, AZUAY, Cuenca",Hotel Norte,07-2827881,Mariano Cueva 11-63 y Sangurima
"Ecuador, PICHINCHA, Quito",Hotel Quito,02-3964900,Av González Suárez N27-142
"Ecuador, AZUAY, Cuenca",Hotel Siena,07-2822552,Hno. Miguel 5-84 y Juan Jaramillo
"Ecuador, AZUAY, Cuenca",Hotel Tito,07-4114384,Sangurima 1-49 y Manuel Vega
"Ecuador, MANABI, Manta",Hotel Umiña,05-2623295,La Ensenadita Diagonal al Paso Lateral Tarqui
"Ecuador, MORONA SANTIAGO, Gualaquiza",Hotel Wakiz,07-2780138,"Francisco de Orellana y Domingo Comín, esquina"
"Ecuador, SANTA ELENA, Salinas",Hotel Yulee,04-2772028,Segunda Av y 14 Calle s/n Sector Chipipe
"Ecuador, LOJA, Loja",HOTEL CALUVA,072587900,Ramon Pinto 07/15 entre Jose Antonio Eguiguren
